Angle_deg,Frequency_Hz,Magnitude_dB,Phase_deg
0.0,21030000000,-36.0957,-111.4101
0.0,21040000000,-35.4815,-170.2047
0.0,21050000000,-34.6309,113.1960
0.0,21060000000,-35.0065,54.7330
0.0,21070000000,-35.1830,-31.6999
0.0,21080000000,-35.6727,-115.9516
0.0,21090000000,-34.3211,-177.0159
0.0,21100000000,-35.1532,109.6659
0.0,21110000000,-34.3534,43.3178
0.0,21120000000,-34.9275,-44.6582
0.0,21130000000,-35.3479,-112.6593
0.0,21140000000,-34.8729,176.2204
0.0,21150000000,-36.7993,98.2875
0.0,21160000000,-36.2489,19.2053
0.0,21170000000,-33.7368,-47.4706
0.0,21180000000,-35.2729,-119.7683
0.0,21190000000,-36.0722,169.7098
0.0,21200000000,-36.6679,89.6521
0.0,21210000000,-34.3161,21.2993
0.0,21220000000,-34.7536,-55.5573
0.0,21230000000,-34.4553,-122.8035
0.0,21240000000,-36.3608,160.9053
0.0,21250000000,-35.2703,93.9824
0.0,21260000000,-33.9270,13.3508
0.0,21270000000,-35.9304,-49.8070
0.0,21280000000,-34.0491,-133.1636
0.0,21290000000,-34.9883,152.3564
0.0,21300000000,-34.3917,84.0289
0.0,21310000000,-35.5963,12.2136
0.0,21320000000,-34.2693,-72.5029
0.0,21330000000,-34.4815,-140.9787
0.0,21340000000,-36.0351,137.6829
0.0,21350000000,-36.2058,78.5140
0.0,21360000000,-34.9641,-8.0427
0.0,21370000000,-35.1609,-68.7090
0.0,21380000000,-35.5242,-148.4260
0.0,21390000000,-34.3248,144.5239
0.0,21400000000,-34.3913,76.2911
0.0,21410000000,-35.2769,1.6421
0.0,21420000000,-34.3340,-82.9110
0.0,21430000000,-36.0008,-153.2541
0.0,21440000000,-35.4355,134.4978
0.0,21450000000,-35.1436,63.4032
0.0,21460000000,-34.9556,-20.5026
0.0,21470000000,-37.3629,-89.0017
0.0,21480000000,-34.6346,-159.3300
0.0,21490000000,-36.4670,128.2724
0.0,21500000000,-34.0783,52.9515
0.0,21510000000,-35.0623,-17.2550
0.0,21520000000,-35.0422,-95.1259
0.0,21530000000,-34.2503,-169.5936
0.0,21540000000,-34.4298,121.3389
0.0,21550000000,-34.6978,51.6320
0.0,21560000000,-35.6017,-17.9002
0.0,21570000000,-35.2643,-95.5562
0.0,21580000000,-34.5469,-178.5374
0.0,21590000000,-34.5472,113.4930
0.0,21600000000,-34.7973,39.2600
0.0,21610000000,-36.5960,-40.9341
0.0,21620000000,-35.3846,-111.4482
0.0,21630000000,-34.7996,177.5219
0.0,21640000000,-34.3342,110.4195
0.0,21650000000,-35.2059,26.4718
0.0,21660000000,-36.8843,-32.3081
0.0,21670000000,-35.0485,-103.3266
0.0,21680000000,-34.3382,173.5211
0.0,21690000000,-35.5575,110.3341
0.0,21700000000,-34.3693,28.8164
0.0,21710000000,-35.3763,-45.1388
0.0,21720000000,-34.6626,-117.6586
0.0,21730000000,-33.7633,161.8005
0.0,21740000000,-34.6166,94.1304
0.0,21750000000,-33.2875,26.2034
0.0,21760000000,-35.9114,-47.9975
0.0,21770000000,-34.5898,-122.8400
0.0,21780000000,-35.6843,172.3966
0.0,21790000000,-34.3668,93.6176
0.0,21800000000,-34.6200,18.8768
0.0,21810000000,-35.3357,-57.5382
0.0,21820000000,-35.5658,-139.8376
0.0,21830000000,-35.6899,154.4042
0.0,21840000000,-34.1592,73.8083
0.0,21850000000,-37.2979,1.6641
0.0,21860000000,-37.5523,-57.1680
0.0,21870000000,-36.8512,-133.7467
0.0,21880000000,-37.5548,144.8954
0.0,21890000000,-35.6786,72.9657
0.0,21900000000,-35.0467,7.5052
0.0,21910000000,-35.0463,-78.3089
0.0,21920000000,-36.5068,-143.8029
0.0,21930000000,-33.9705,137.4751
0.0,21940000000,-37.2481,74.2512
0.0,21950000000,-35.4237,-9.5072
0.0,21960000000,-35.0287,-85.2442
0.0,21970000000,-35.1251,-150.2354
0.0,21980000000,-37.8539,147.1908
0.0,21990000000,-34.7153,73.8103
0.0,22000000000,-35.4084,1.8447
0.0,22010000000,-35.0404,-75.9146
0.0,22020000000,-35.5865,-156.7817
0.0,22030000000,-33.8813,130.7566
0.0,22040000000,-33.5198,58.9438
0.0,22050000000,-35.5900,-23.0880
0.0,22060000000,-35.1829,-101.2124
0.0,22070000000,-35.3673,-162.9702
0.0,22080000000,-35.1943,119.1997
0.0,22090000000,-35.8210,46.0312
0.0,22100000000,-37.0747,-36.0663
0.0,22110000000,-35.1084,-100.0949
0.0,22120000000,-35.5058,-170.0092
0.0,22130000000,-35.0771,116.6823
0.0,22140000000,-35.1343,45.1031
0.0,22150000000,-34.8644,-29.2002
0.0,22160000000,-34.3997,-113.3092
0.0,22170000000,-36.3575,-172.8716
0.0,22180000000,-35.0613,101.5947
0.0,22190000000,-36.3455,41.0259
0.0,22200000000,-34.9211,-33.3334
0.0,22210000000,-34.4406,-117.1316
0.0,22220000000,-35.3603,175.7703
